Reference, Quantity, Value, Footprint, Datasheet, Article number
C1 ,1,"0.1uF","Capacitors_SMD:C_0805","https://nl.farnell.com/wurth-elektronik/885012207016/cap-0-1-f-10v-10-x7r-0805/dp/2534051","885012207016"
C2 ,1,"C","Capacitors_SMD:C_0805","~"
C3 ,1,"1.5uF","Capacitors_SMD:C_0805","https://nl.farnell.com/multicomp/mc0805x155k6r3ct/cap-1-5-f-6-3v-10-x5r-0805/dp/1759410","MC0805X155K6R3CT"
C4 ,1,"47uF","Capacitors_SMD:C_0805","https://nl.farnell.com/murata/grm21br60j476me15l/cap-47-f-6-3v-20-x5r-0805/dp/2362109","GRM21BR60J476ME15L"
D1 ,1,"BPW21","Package_TO_SOT_THT:TO-5-2_Window","http://techwww.in.tu-clausthal.de/site/Dokumentation/Dioden/Fotodioden/BPW21-Fotodiode.pdf","BPW21R"
J1 ,1,"Conn_01x03","Connector_Molex:Molex_Pico-Clasp_501331-0307_1x03-1MP_P1.00mm_Vertical","https://nl.farnell.com/molex/501331-0307/connector-header-3pos-1row-1mm/dp/1835977?st=pico%20clasp","501331-0307"
L1 ,1,"Ferrite_Bead","Inductor_SMD:L_0805_2012Metric","https://nl.farnell.com/murata/blm21bd272sn1l/ferrite-bead-0-8ohm-200ma-0805/dp/1515647","BLM21BD272SN1L"
R1 R3 R4 ,3,"R","Resistor_SMD:R_0805_2012Metric","~"
R2 ,1,"3","Resistor_SMD:R_0805_2012Metric","https://nl.farnell.com/panasonic-electronic-components/erj6geyj3r0v/res-3r-5-0-125w-0805-thick-film/dp/2323844RL","ERJ6GEYJ3R0V"
U1 ,1,"Opamp_Dual_Generic","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","https://nl.mouser.com/ProductDetail/Texas-Instruments/OPA2140AID?qs=sGAEpiMZZMvtNjJQt4UgLazUAy7nLwWSG%252bHXmvkwFZI%3d","OPA2140AID"
U2 ,1,"EMIshield","EMIshield:Laird-BMI-S-202-F","https://nl.farnell.com/laird/bmi-s-202-f/emi-shield-surface-mount/dp/2497717?ost=BMI-S-202-F&scope=partnumberlookahead&searchref=searchlookahead&krypto=j3iFSqeSfTjXXfOpoRIuPKM7UIy%2BvTJigm0QN3yDryZM8QlogRxdn7Dx%2FkTFeJac9aDEMj3hgo6Ckjf0zdpzKwE240w%2BZJbeuFggQWZTM5Tlw7e%2FvhZDy1IBFLLLr3mOigXCFiLX%2BR34zZM0QLutt0bvc5vS0aCbutfz8ghYSwpAlxVxBhOYLvahLZTRj4Kzk%2Fh0GwjeoOG1jspRoPLOa988bXmgja6AwIxVDkR5%2BAyKI7C6ljuhX6uQKMYtWbyJP%2FrB9czLNF2%2FXHtxLsgCJqP7O24wOqTGO8EK2nxIcX%2BCkae4EUYgTpdfeaXysltqpdf6Ok7cVpG4Y6eWQm8YTyrJQhEUlL9dNCrjuaRd7FNG%2FpkGh9CP6Nm2hra08KGtiNZq5EYHtxwVUGyYejInp4QxRvnBjB%2FwIY1nPd%2FRcjZWM9k8XYf18xPIeApT%2BuFyVIMT%2BBtSBxLa3ruUCmXYswozgjw9DtPR3wxmRiH0KI091VNYfPKPTCD3eocnrhVcI2YbFh%2BGp6V0EE80juCqZlepCl4lX44grZSO%2BhtMl3TsO66u%2BMAAfbWt%2FOpqgwZiDJJwObv6CNM6Rg3VSS940IV22GW1NXf5jzwy2oP8rpY%3D&ddkey=https%3Anl-NL%2FElement14_Netherlands%2Fw%2Fsearch","BMI-S-202-F"
