Time[ms],Vup[V],Vdwn[V],Vdiode[V],Vled[V],Vscat[V],OD[],Temp[C],Color[],LoopCount[],Vfb_x[V],Vfb_y[V],Vfb_z[V]
1107,2.08312,2.08312,2.08312,1.36225,0.00000,0.87264,26.6287,1,0,0.13,0.00,0.00
1847,2.07150,2.07150,2.07150,1.36225,0.00000,0.87021,26.6276,1,1,0.00,0.37,0.00
1976,2.07125,2.07125,2.07125,1.36238,0.00000,0.87016,26.6287,1,1,0.00,0.37,0.00
2110,2.07112,2.07112,2.07112,1.36225,0.00000,0.87014,26.6276,1,1,0.00,0.37,0.00
2253,2.07100,2.07100,2.07100,1.36238,0.00000,0.87011,26.6298,1,1,0.00,0.37,0.00
2395,2.07087,2.07087,2.07087,1.36238,0.00000,0.87008,26.6287,1,1,0.00,0.37,0.00
2538,2.07075,2.07075,2.07075,1.36225,0.00000,0.87006,26.6298,1,1,0.00,0.37,0.00
2681,2.07062,2.07062,2.07062,1.36225,0.00000,0.87003,26.6298,1,1,0.00,0.36,0.00
2824,2.07062,2.07062,2.07062,1.36225,0.00000,0.87003,26.6287,1,1,0.00,0.37,0.00
2967,2.07050,2.07050,2.07050,1.36225,0.00000,0.87000,26.6287,1,1,0.00,0.36,0.00
3110,2.07050,2.07050,2.07050,1.36225,0.00000,0.87000,26.6287,1,1,0.00,0.37,0.00
3253,2.07037,2.07037,2.07037,1.36225,0.00000,0.86998,26.6287,1,1,0.00,0.37,0.00
3395,2.07037,2.07037,2.07037,1.36225,0.00000,0.86998,26.6287,1,1,0.00,0.37,0.00
3538,2.07037,2.07037,2.07037,1.36225,0.00000,0.86998,26.6310,1,1,0.00,0.37,0.00
3681,2.07025,2.07025,2.07025,1.36225,0.00000,0.86995,26.6298,1,1,0.00,0.37,0.00
3824,2.07012,2.07012,2.07012,1.36238,0.00000,0.86993,26.6287,1,1,0.00,0.37,0.00
3967,2.07012,2.07012,2.07012,1.36238,0.00000,0.86993,26.6298,1,1,0.00,0.37,0.00
4110,2.07012,2.07012,2.07012,1.36225,0.00000,0.86993,26.6298,1,1,0.00,0.37,0.00
4253,2.07000,2.07000,2.07000,1.36225,0.00000,0.86990,26.6310,1,1,0.00,0.37,0.00
4395,2.07000,2.07000,2.07000,1.36238,0.00000,0.86990,26.6298,1,1,0.00,0.37,0.00
4538,2.07000,2.07000,2.07000,1.36238,0.00000,0.86990,26.6287,1,1,0.00,0.37,0.00
4681,2.06987,2.06987,2.06987,1.36238,0.00000,0.86987,26.6310,1,1,0.00,0.37,0.00
4824,2.06987,2.06987,2.06987,1.36238,0.00000,0.86987,26.6298,1,1,0.00,0.37,0.00
4967,2.06987,2.06987,2.06987,1.36238,0.00000,0.86987,26.6310,1,1,0.00,0.37,0.00
5110,2.06975,2.06975,2.06975,1.36225,0.00000,0.86985,26.6298,1,1,0.00,0.37,0.00
5253,2.06975,2.06975,2.06975,1.36238,0.00000,0.86985,26.6287,1,1,0.00,0.37,0.00
5395,2.06975,2.06975,2.06975,1.36225,0.00000,0.86985,26.6287,1,1,0.00,0.37,0.00
5538,2.06962,2.06962,2.06962,1.36225,0.00000,0.86982,26.6310,1,1,0.00,0.37,0.00
5681,2.06962,2.06962,2.06962,1.36238,0.00000,0.86982,26.6321,1,1,0.00,0.37,0.00
5824,2.06962,2.06962,2.06962,1.36238,0.00000,0.86982,26.6310,1,1,0.00,0.36,0.00
5967,2.06962,2.06962,2.06962,1.36238,0.00000,0.86982,26.6298,1,1,0.00,0.37,0.00
6110,2.06950,2.06950,2.06950,1.36238,0.00000,0.86979,26.6310,1,1,0.00,0.37,0.00
6253,2.06950,2.06950,2.06950,1.36238,0.00000,0.86979,26.6287,1,1,0.00,0.37,0.00
6395,2.06950,2.06950,2.06950,1.36238,0.00000,0.86979,26.6310,1,1,0.00,0.36,0.00
6538,2.06950,2.06950,2.06950,1.36225,0.00000,0.86979,26.6298,1,1,0.00,0.37,0.00
6681,2.06950,2.06950,2.06950,1.36238,0.00000,0.86979,26.6298,1,1,0.00,0.37,0.00
6824,2.06950,2.06950,2.06950,1.36225,0.00000,0.86979,26.6298,1,1,0.00,0.37,0.00
6967,2.06950,2.06950,2.06950,1.36238,0.00000,0.86979,26.6298,1,1,0.00,0.37,0.00
7110,2.06937,2.06937,2.06937,1.36238,0.00000,0.86977,26.6310,1,1,0.00,0.36,0.00
