Time[ms],Vup[V],Vdwn[V],Vdiode[V],Vled[V],Vscat[V],OD[],Temp[C],Color[],LoopCount[],Vfb_x[V],Vfb_y[V],Vfb_z[V]
733738,2.08750,2.08750,2.08750,1.36138,0.00000,0.87356,26.8793,1,4,0.13,0.00,0.00
733879,2.09025,2.09025,2.09025,1.36138,0.00000,0.87413,26.8793,1,4,0.13,0.00,0.00
734016,2.09237,2.09237,2.09237,1.36138,0.00000,0.87457,26.8804,1,4,0.13,0.00,0.00
734153,2.09400,2.09400,2.09400,1.36125,0.00000,0.87491,26.8804,1,4,0.13,0.00,0.00
734297,2.09550,2.09550,2.09550,1.36112,0.00000,0.87522,26.8804,1,4,0.13,0.00,0.00
734565,2.09775,2.09775,2.09775,1.36138,0.00000,0.87568,26.8804,1,4,0.13,0.00,0.00
734711,2.09875,2.09875,2.09875,1.36125,0.00000,0.87589,26.8804,1,4,0.13,0.00,0.00
734848,2.09962,2.09962,2.09962,1.36125,0.00000,0.87607,26.8804,1,4,0.13,0.00,0.00
734985,2.10025,2.10025,2.10025,1.36138,0.00000,0.87620,26.8804,1,4,0.13,0.00,0.00
735123,2.10087,2.10087,2.10087,1.36125,0.00000,0.87633,26.8804,1,4,0.13,0.00,0.00
735267,2.10137,2.10137,2.10137,1.36125,0.00000,0.87643,26.8804,1,4,0.13,0.00,0.00
735414,2.10187,2.10187,2.10187,1.36138,0.00000,0.87654,26.8804,1,4,0.13,0.00,0.00
735555,2.10237,2.10237,2.10237,1.36125,0.00000,0.87664,26.8804,1,4,0.13,0.00,0.00
735697,2.10275,2.10275,2.10275,1.36125,0.00000,0.87672,26.8804,1,4,0.13,0.00,0.00
735834,2.10312,2.10312,2.10312,1.36125,0.00000,0.87679,26.8804,1,4,0.13,0.00,0.00
735972,2.10338,2.10338,2.10338,1.36125,0.00000,0.87685,26.8804,1,4,0.13,0.00,0.00
736110,2.10362,2.10362,2.10362,1.36125,0.00000,0.87690,26.8804,1,4,0.13,0.00,0.00
736257,2.10387,2.10387,2.10387,1.36125,0.00000,0.87695,26.8804,1,4,0.13,0.00,0.00
736404,2.10413,2.10413,2.10413,1.36138,0.00000,0.87700,26.8804,1,4,0.13,0.00,0.00
736541,2.10437,2.10437,2.10437,1.36138,0.00000,0.87705,26.8804,1,4,0.13,0.00,0.00
736680,2.10450,2.10450,2.10450,1.36138,0.00000,0.87708,26.8804,1,4,0.13,0.00,0.00
736824,2.10462,2.10462,2.10462,1.36138,0.00000,0.87710,26.8804,1,4,0.13,0.00,0.00
736966,2.10487,2.10487,2.10487,1.36125,0.00000,0.87716,26.8804,1,4,0.13,0.00,0.00
737109,2.10500,2.10500,2.10500,1.36138,0.00000,0.87718,26.8804,1,4,0.13,0.00,0.00
737261,2.10512,2.10512,2.10512,1.36138,0.00000,0.87721,26.8804,1,4,0.13,0.00,0.00
737398,2.10525,2.10525,2.10525,1.36138,0.00000,0.87723,26.8804,1,4,0.13,0.00,0.00
737538,2.10537,2.10537,2.10537,1.36125,0.00000,0.87726,26.8804,1,4,0.13,0.00,0.00
737680,2.10550,2.10550,2.10550,1.36125,0.00000,0.87728,26.8804,1,4,0.13,0.00,0.00
737824,2.10562,2.10562,2.10562,1.36125,0.00000,0.87731,26.8804,1,4,0.13,0.00,0.00
737966,2.10575,2.10575,2.10575,1.36125,0.00000,0.87734,26.8804,1,4,0.13,0.00,0.00
738113,2.10575,2.10575,2.10575,1.36125,0.00000,0.87734,26.8815,1,4,0.13,0.00,0.00
738255,2.10575,2.10575,2.10575,1.36125,0.00000,0.87734,26.8804,1,4,0.13,0.00,0.00
738395,2.10587,2.10587,2.10587,1.36125,0.00000,0.87736,26.8815,1,4,0.13,0.00,0.00
738538,2.10600,2.10600,2.10600,1.36138,0.00000,0.87739,26.8815,1,4,0.13,0.00,0.00
738680,2.10600,2.10600,2.10600,1.36138,0.00000,0.87739,26.8815,1,4,0.13,0.00,0.00
738827,2.10612,2.10612,2.10612,1.36138,0.00000,0.87741,26.8804,1,4,0.13,0.00,0.00
738974,2.10612,2.10612,2.10612,1.36125,0.00000,0.87741,26.8815,1,4,0.13,0.00,0.00
739111,2.10612,2.10612,2.10612,1.36125,0.00000,0.87741,26.8804,1,4,0.13,0.00,0.00
739254,2.10625,2.10625,2.10625,1.36138,0.00000,0.87744,26.8815,1,4,0.13,0.00,0.00
739395,2.10625,2.10625,2.10625,1.36138,0.00000,0.87744,26.8815,1,4,0.13,0.00,0.00
739538,2.10625,2.10625,2.10625,1.36125,0.00000,0.87744,26.8815,1,4,0.13,0.00,0.00
739680,2.10625,2.10625,2.10625,1.36125,0.00000,0.87744,26.8815,1,4,0.13,0.00,0.00
739832,2.10625,2.10625,2.10625,1.36125,0.00000,0.87744,26.8815,1,4,0.13,0.00,0.00
