# Time[ms],Looppar,Vdiode[V],Vled[V],Vscat[V],Temperature[C],Ix[A],Iy[A],Iz[A],LED_type
2135302,0,,,2.7342,,,,,1
2135430,0,0.6776,,,,,,,1
2135558,0,,,2.7336,,,,,1
2135708,0,,,,,-0.0407,,,1
2135859,0,,,,,,,0.4779,1
2136010,0,,,,,,0.0435,,1
2136161,0,,,,25.7106,,,,1
2136289,0,0.6777,,,,,,,1
2136417,0,,,2.7342,,,,,1
2136545,0,0.6776,,,,,,,1
2136695,0,,,,,-0.0407,,,1
2136846,0,,,,,,,0.4779,1
2136997,0,,,,,,0.0435,,1
2137148,0,,,,25.7106,,,,1
2137276,0,,,2.7341,,,,,1
2137404,0,0.6776,,,,,,,1
2137532,0,,,2.7341,,,,,1
2137682,0,,,,,-0.0407,,,1
2137833,0,,,,,,,0.4779,1
2137984,0,,,,,,0.0435,,1
2138135,0,,,,25.7106,,,,1
2138263,0,0.6777,,,,,,,1
2138391,0,,,2.7341,,,,,1
2138519,0,0.6776,,,,,,,1
2138669,0,,,,,-0.0407,,,1
2138820,0,,,,,,,0.4779,1
2138971,0,,,,,,0.0435,,1
2139122,0,,,,25.7106,,,,1
2139250,0,,,2.7345,,,,,1
2139378,0,0.6776,,,,,,,1
2139506,0,,,2.7345,,,,,1
2139656,0,,,,,-0.0407,,,1
2139807,0,,,,,,,0.4779,1
2139958,0,,,,,,0.0435,,1
2140109,0,,,,25.7106,,,,1
2140237,0,0.6777,,,,,,,1
2140365,0,,,2.7346,,,,,1
2140493,0,0.6776,,,,,,,1
2140643,0,,,,,-0.0407,,,1
2140794,0,,,,,,,0.4779,1
2140945,0,,,,,,0.0437,,1
2141096,0,,,,25.7106,,,,1
2141224,0,,,2.7350,,,,,1
2141352,0,0.6777,,,,,,,1
2141480,0,,,2.7349,,,,,1
2141630,0,,,,,-0.0407,,,1
2141781,0,,,,,,,0.4779,1
2141932,0,,,,,,0.0435,,1
2142083,0,,,,25.7106,,,,1
2142211,0,0.6777,,,,,,,1
2142339,0,,,2.7351,,,,,1
